AccTemp,StageAdjustedTemp
9,7
9,7.1
9,7.2
9,7.3
9,7.4
9,7.5
9,7.6
9,7.7
9,7.8
9,7.9
9,8
9,8.1
9,8.2
9,8.3
9,8.4
9,8.5
9,8.6
9,8.7
9,8.8
9,8.9
9,9
9,9.1
9,9.2
9,9.3
9,9.4
9,9.5
9,9.6
9,9.7
9,9.8
9,9.9
9,10
9,10.1
9,10.2
9,10.3
9,10.4
9,10.5
9,10.6
9,10.7
9,10.8
9,10.9
9,11
9,11.1
9,11.2
9,11.3
9,11.4
9,11.5
9,11.6
9,11.7
9,11.8
9,11.9
9,12
9,12.1
9,12.2
9,12.3
9,12.4
9,12.5
9,12.6
9,12.7
9,12.8
9,12.9
9,13
9,13.1
9,13.2
9,13.3
9,13.4
9,13.5
9,13.6
9,13.7
9,13.8
9,13.9
9,14
9,14.1
9,14.2
9,14.3
9,14.4
9,14.5
9,14.6
9,14.7
9,14.8
9,14.9
9,15
9,15.1
9,15.2
9,15.3
9,15.4
9,15.5
9,15.6
9,15.7
9,15.8
9,15.9
9,16
9,16.1
9,16.2
9,16.3
9,16.4
9,16.5
9,16.6
9,16.7
9,16.8
9,16.9
9,17
9,17.1
9,17.2
9,17.3
9,17.4
9,17.5
9,17.6
9,17.7
9,17.8
9,17.9
9,18
9,18.1
9,18.2
9,18.3
9,18.4
9,18.5
9,18.6
9,18.7
9,18.8
9,18.9
9,19
9,19.1
9,19.2
9,19.3
9,19.4
9,19.5
9,19.6
9,19.7
9,19.8
9,19.9
9,20
9,20.1
9,20.2
9,20.3
9,20.4
9,20.5
9,20.6
9,20.7
9,20.8
9,20.9
9,21
9,21.1
9,21.2
9,21.3
9,21.4
9,21.5
9,21.6
9,21.7
9,21.8
9,21.9
9,22
9,22.1
9,22.2
9,22.3
9,22.4
9,22.5
9,22.6
9,22.7
9,22.8
9,22.9
9,23
9,23.1
9,23.2
9,23.3
9,23.4
9,23.5
9,23.6
9,23.7
9,23.8
9,23.9
9,24
9,24.1
9,24.2
9,24.3
9,24.4
9,24.5
9,24.6
9,24.7
9,24.8
9,24.9
9,25
9,25.1
9,25.2
9,25.3
9,25.4
9,25.5
9,25.6
9,25.7
9,25.8
9,25.9
9,26
9,26.1
9,26.2
9,26.3
9,26.4
9,26.5
9,26.6
9,26.7
9,26.8
9,26.9
9,27
9,27.1
9,27.2
9,27.3
9,27.4
9,27.5
9,27.6
9,27.7
9,27.8
9,27.9
9,28
9,28.1
9,28.2
9,28.3
9,28.4
9,28.5
9,28.6
9,28.7
