Trial,Time_min,Temp,T.start,RoomTemp
6,0,12.5,12.5,19.5
6,1,12.5,12.5,19.5
6,2,12.7,12.5,19.5
6,3,12.8,12.5,19.5
6,4,13,12.5,19.5
6,5,13.3,12.5,19.5
6,6,13.5,12.5,19.5
6,7,13.8,12.5,19.5
6,8,14,12.5,19.5
6,9,14.2,12.5,19.5
6,10,14.4,12.5,19.5
7,0,25.9,25.9,19.5
7,1,26.8,25.9,19.5
7,2,26.4,25.9,19.5
7,3,26,25.9,19.5
7,4,25.7,25.9,19.5
7,5,25.3,25.9,19.5
7,6,25,25.9,19.5
7,7,24.7,25.9,19.5
7,8,24.4,25.9,19.5
7,9,24.2,25.9,19.5
7,10,24.1,25.9,19.5
8,0,11.4,11.4,19.5
8,1,11.2,11.4,19.5
8,2,11.7,11.4,19.5
8,3,12.1,11.4,19.5
8,4,12.5,11.4,19.5
8,5,12.9,11.4,19.5
8,6,13.3,11.4,19.5
8,7,13.6,11.4,19.5
8,8,14,11.4,19.5
8,9,14.2,11.4,19.5
8,10,14.6,11.4,19.5
9,0,26.1,26.1,19.5
9,1,26,26.1,19.5
9,2,25.5,26.1,19.5
9,3,25,26.1,19.5
9,4,24.6,26.1,19.5
9,5,24.4,26.1,19.5
9,6,24.1,26.1,19.5
9,7,23.9,26.1,19.5
9,8,23.7,26.1,19.5
9,9,23.5,26.1,19.5
9,10,23.4,26.1,19.5
10,0,12.9,12.9,23.2
10,1,13.3,12.9,23.2
10,2,13.8,12.9,23.2
10,3,14.3,12.9,23.2
10,4,14.7,12.9,23.2
10,5,15.1,12.9,23.2
10,6,15.5,12.9,23.2
10,7,15.8,12.9,23.2
10,8,16.1,12.9,23.2
10,9,16.4,12.9,23.2
10,10,16.7,12.9,23.2
11,0,29.6,29.6,23.2
11,1,29.1,29.6,23.2
11,2,28.5,29.6,23.2
11,3,28,29.6,23.2
11,4,27.7,29.6,23.2
11,5,27.4,29.6,23.2
11,6,27,29.6,23.2
11,7,26.9,29.6,23.2
11,8,26.7,29.6,23.2
11,9,26.5,29.6,23.2
11,10,26.3,29.6,23.2
12,0,29.3,29.3,23.2
12,1,29,29.3,23.2
12,2,28.5,29.3,23.2
12,3,28.1,29.3,23.2
12,4,27.8,29.3,23.2
12,5,27.5,29.3,23.2
12,6,27.2,29.3,23.2
12,7,26.9,29.3,23.2
12,8,26.7,29.3,23.2
12,9,26.5,29.3,23.2
12,10,26.3,29.3,23.2
13,0,6.8,6.8,20.7
13,1,7.1,6.8,20.7
13,2,7.5,6.8,20.7
13,3,8,6.8,20.7
13,4,8.5,6.8,20.7
13,5,9.1,6.8,20.7
13,6,9.4,6.8,20.7
13,7,10,6.8,20.7
13,8,10.3,6.8,20.7
13,9,10.8,6.8,20.7
13,10,11.3,6.8,20.7
14,0,5.9,5.9,20.7
14,1,6.7,5.9,20.7
14,2,7.6,5.9,20.7
14,3,8.2,5.9,20.7
14,4,8.9,5.9,20.7
14,5,9.6,5.9,20.7
14,6,10.1,5.9,20.7
14,7,10.6,5.9,20.7
14,8,11.1,5.9,20.7
14,9,11.5,5.9,20.7
14,10,12,5.9,20.7
15,0,17.7,17.7,23.1
15,1,18.1,17.7,23.1
15,2,18.4,17.7,23.1
15,3,18.7,17.7,23.1
15,4,18.9,17.7,23.1
15,5,19.2,17.7,23.1
15,6,19.4,17.7,23.1
15,7,19.6,17.7,23.1
15,8,19.8,17.7,23.1
15,9,20,17.7,23.1
15,10,20.1,17.7,23.1
16,0,18,18,23.1
16,1,18.6,18,23.1
16,2,18.8,18,23.1
16,3,19,18,23.1
16,4,19.3,18,23.1
16,5,19.5,18,23.1
16,6,19.7,18,23.1
16,7,19.9,18,23.1
16,8,20.1,18,23.1
16,9,20.4,18,23.1
16,10,20.6,18,23.1
