Block,AccInc,AccTemp,ZspCountGoPro,StartingQuantityZsp,AvgHOBOTemp,CurrentAccTemp,StartTemp,CurrentHOBOTemp,StartTime,50Temp,50Time,100Temp,100Time,Observer,Partner,DateObserved,DateInoculated,DateAcclimated,RoomTemp,MinutesTo50,MinutesTo100,HeatingRateTo100PerMinute,InitialPercentMoving,Tryptone,Agar,Notes
B,4,24,,200,24.9,24.5,20.7,24.448,14:28,25.7,14:32,32,14:40,Vanessa Six,Hunter Craig,5/18/2023,5/11/2023,5/11/2023,23,4.00,12.00,0.941666667,0.95,,,Missing HOBO data from 5/11 to 5/14
B,5,16.5,,400,17.19,15.4,20.9,17.094,14:47,25.8,14:51,31.8,14:58,Vanessa Six,Hunter Craig,5/18/2023,5/11/2023,5/11/2023,23,4.00,11.00,0.990909091,0.98,,,
B,4,24,,200,24.8987,24.6,21.7,24.641,15:11,26,15:15,30.2,15:18,Vanessa Six,Hunter Craig,5/18/2023,5/11/2023,5/11/2023,23,4.00,7.00,1.214285714,0.97,,,Lowest number zoospores of this block
B,1,16.5,,500,17.22734,16.6,19.8,17.379,15:38,26.4,15:42,32.5,15:54,Vanessa Six,Hunter Craig,5/18/2023,5/8/2023,5/12/2023,23,4.00,16.00,0.79375,0.98,,,Higher variability in zoospore size than other samples; Larger zoospores lasted longer than smaller zoospores.
C,4,24,,200,24.68014,24.6,20.6,24.835,13:01,26.9,13:05,32.2,13:14,Vanessa Six,Hunter Craig,5/25/2023,5/18/2023,5/22/2023,22.7,4.00,13.00,0.892307692,0.95,New,New,
C,5,16.5,,400,17.19671,16.2,24.2,18.14,13:18,27,13:20,32.5,13:26,Vanessa Six,Hunter Craig,5/25/2023,5/15/2023,5/22/2023,22.7,2.00,8.00,1.0375,0.98,New,New,Smaller zoospores than usual
C,5,16.5,,400,17.20245,15.9,22.9,18.045,13:41,26.9,13:44,32.4,13:49,Vanessa Six,Hunter Craig,5/25/2023,5/18/2023,5/22/2023,22.7,3.00,8.00,1.1875,0.98,Old,New,
C,6,9,,300,9.905658,9.6,22.7,10.357,14:04,27,14:07,32.9,14:15,Vanessa Six,Hunter Craig,5/25/2023,5/18/2023,5/22/2023,22.7,3.00,11.00,0.927272727,0.95,Old,Old,
C,2,9,,200,10.06964,9.4,22.2,10.944,14:56,26.8,14:59,32.1,15:03,Vanessa Six,Hunter Craig,5/25/2023,5/18/2023,5/22/2023,22.7,3.00,7.00,1.414285714,0.98,Old ,New,Smaller zoospores than usual
D,5,24,,200,22.80039,21.2,19.3,21.855,11:23,26,11:27,31.7,11:36,Declan McCrary,Hunter Craig,6/5/2023,5/29/2023,6/2/2023,20.2,4.00,13.00,0.953846154,0.95,New,New,"Acc Inc stopped working, was at room temp"
D,3,9,,50,8.553021,10.6,17.3,8.082,11:40,25.4,11:41,26.9,11:42,Declan McCrary,Hunter Craig,6/5/2023,5/26/2023,6/2/2023,20.2,1.00,2.00,4.8,0.75,New,New,
D,1,24,,50,24.2451,24.1,20.7,20.805,12:01,,,27.9,12:06,Declan McCrary,Hunter Craig,6/5/2023,5/26/2023,6/2/2023,20.2,,5.00,1.44,0.5,New,New,
D,2,16.5,,300,15.76968,15.1,18.1,15.76,12:23,22.4,12:25,27,12:28,Declan McCrary,Hunter Craig,6/5/2023,5/29/2023,6/2/2023,20.2,2.00,5.00,1.78,0.9,New,New,
D,4,9,,200,9.425048,4.6,18.2,12.11,12:39,22.7,12:40,25.4,12:42,Declan McCrary,Hunter Craig,6/5/2023,5/29/2023,6/2/2023,20.2,1.00,3.00,2.4,0.95,New,New,
D,3,9,,150,8.549548,6.1,18.4,8.879,12:57,22.5,12:59,26.6,13:01,Declan McCrary,Hunter Craig,6/5/2023,5/29/2023,6/2/2023,20.2,2.00,4.00,2.05,0.8,New,New,
D,4,9,,150,9.437367,11.1,19.8,20.901,13:10,23.1,13:11,29.1,13:14,Declan McCrary,Hunter Craig,6/5/2023,5/26/2023,6/2/2023,20.2,1.00,4.00,2.325,0.95,New,New,
D,2,16.5,,30,15.77722,15.5,22.5,15.855,13:42,29.4,13:44,30.6,13:45,Declan McCrary,Hunter Craig,6/5/2023,5/26/2023,6/2/2023,20.2,2.00,3.00,2.7,0.5,New,New,
E,5,24,82,300,24.06129,24.2,22.7,,11:16,26.8,11:20,32.1,11:25,Vanessa Six,Hunter Craig,6/8/2023,6/1/2023,6/5/2023,24,4.00,9.00,1.044444444,0.92,New,New,
E,3,9,101,400,8.250146,8.4,16.5,5.037,11:38,25.8,11:40,33.2,11:53,Vanessa Six,Hunter Craig,6/8/2023,6/1/2023,6/5/2023,24,2.00,15.00,1.113333333,0.98,New,New,Temp plateaued at 33.2
E,4,9,53,300,9.438159,12.4,22.4,10.161,12:01,27.6,12:04,32.9,12:10,Vanessa Six,Hunter Craig,6/8/2023,5/29/2023,6/5/2023,24,3.00,9.00,1.166666667,0.95,New,New,
E,6,16.5,185,350,16.71564,16.6,22,,12:24,28.5,12:28,33.2,12:33,Vanessa Six,Hunter Craig,6/8/2023,5/29/2023,6/5/2023,24,4.00,9.00,1.244444444,0.95,New,New,
E,6,16.5,130,400,16.71823288,16.8,21.3,,12:47,29,12:51,33.2,12:57,Vanessa Six,Hunter Craig,6/8/2023,6/1/2023,6/5/2023,24,4.00,10.00,1.19,0.97,New,New,
E,4,9,34,150,9.447973,12.6,21.5,9.571,13:04,,,26.8,13:06,Vanessa Six,Hunter Craig,6/8/2023,6/1/2023,6/5/2023,24,,2.00,2.65,0.9,New,New,All died suddenly at once; possible ethanol contamination?
E,5,24,,200,24.08168027,24.8,23.3,,13:27,24.3,13:29,33,13:37,Vanessa Six,Hunter Craig,6/8/2023,5/29/2023,6/5/2023,24,2.00,10.00,0.97,0.8,New,New,
E,3,9,,300,8.265493,10.2,20.1,6.978,13:49,28.3,13:52,32.7,13:58,Vanessa Six,Hunter Craig,6/8/2023,5/29/2023,6/5/2023,24,3.00,9.00,1.4,0.98,New,New,
E,5,24,,200,24.08854,24.2,22.8,,14:09,25.3,14:11,33.9,14:25,Vanessa Six,Hunter Craig,6/8/2023,5/29/2023,6/5/2023,24,2.00,16.00,0.69375,0.9,New,New,Temp plateaued at 33.7
E,6,16.5,,400,16.72253333,16.6,21.1,,14:31,28.7,14:33,33.6,14:43,Vanessa Six,Hunter Craig,6/8/2023,6/1/2023,6/5/2023,24,2.00,12.00,1.041666667,0.98,New,New,Temp plateaued at 33.6
